Country,Longitude,Lattitude,color
Afghanistan,67.709953,33.939110,#FF0000
Albania,20.168331,41.153332,#FF0000
Algeria,1.659626,28.033886,#FF0000
American Samoa,-169.621780,-12.799500,#FF0000
Andorra,1.521801,42.506287,#FF0000
Angola,17.873886,-11.202692,#FF0000
Antigua and Barbuda,-61.796429,17.060816,#FF0000
Argentina,-63.616673,-38.416096,#FF0000
Armenia,45.038189,40.069099,#FF0000
Australia,133.775131,-25.274399,#FF0000
Austria,14.550072,47.516232,#FF0000
Azerbaijan,47.576927,40.143105,#FF0000
Bahamas,-77.376602,25.046591,#FF00A2
Bahrain,50.557701,26.066700,#FF00A2
Bangladesh,90.356331,23.684994,#FF00A2
Barbados,-59.543198,13.193887,#FF00A2
Belarus,27.953388,53.709808,#FF00A2
Belgium,4.469936,50.503887,#FF00A2
Belize,-88.497650,17.189877,#FF00A2
Benin,2.315834,9.307690,#FF00A2
Bermuda,-64.750504,32.307800,#FF00A2
Bhutan,90.433601,27.514162,#FF00A2
Bolivia,-63.588654,-16.290154,#FF00A2
Bosnia and Herzegovina,17.679075,43.915886,#FF00A2
Botswana,24.684866,-22.328474,#FF00A2
Brazil,-51.925282,-14.235004,#FF00A2
Brunei,114.727669,4.535277,#FF00A2
Bulgaria,25.485830,42.733883,#FF00A2
Burkina,-1.519920,12.371530,#FF00A2
Burundi,29.918886,3.373056,#FF00A2
Cambodia,104.990967,12.565679,#8700EE
Cameroon,12.354722,7.369722,#8700EE
Canada,-106.346771,56.130367,#8700EE
Cape Verde,-23.041800,16.538799,#8700EE
Caribbean,-78.656891,21.469114,#8700EE
Central African Republic,20.939444,6.611111,#8700EE
Central Asia,68.831902,45.450687,#8700EE
Central Europe,-95.158989,35.670021,#8700EE
Central Sub-Saharan Africa,18.581980,4.362630,#8700EE
Chad,18.732206,15.454166,#8700EE
Chile,-71.542969,-35.675148,#8700EE
China,104.195396,35.861660,#8700EE
Colombia,-74.297333,4.570868,#8700EE
Comoros,43.333302,-11.645500,#8700EE
Congo,21.758663,-4.038333,#8700EE
Costa Rica,-83.753426,9.748917,#8700EE
Cote d'Ivoire,-4.017050,5.349390,#8700EE
Croatia,15.200000,45.099998,#8700EE
Cuba,-77.781166,21.521757,#8700EE
Cyprus,33.429859,35.126411,#8700EE
Czech Republic,15.472962,49.817493,#8700EE
Democratic Republic of Congo,21.758663,-4.038333,#0000EE
Denmark,9.501785,56.263920,#0000EE
Djibouti,42.590275,11.825138,#0000EE
Dominica,-61.370975,15.414999,#0000EE
Dominican Republic,-70.162651,18.735693,#0000EE
East Asia,121.034859,14.418530,#00CEEE
Eastern Europe,37.958748,52.005516,#00CEEE
Eastern Sub-Saharan Africa,-83.525500,41.771890,#0000EE
Ecuador,-78.183403,-1.831239,#0000EE
Egypt,30.802498,26.820553,#0000EE
El Salvador,-88.896530,13.794185,#0000EE
England,-1.174320,52.355518,#0000EE
Equatorial Guinea,10.267895,1.650801,#0000EE
Eritrea,38.937111,15.339000,#0000EE
Estonia,25.013607,58.595272,#0000EE
Ethiopia,40.489674,9.145000,#0000EE
Fiji,178.065033,-17.713371,#0000EE
Finland,25.748152,61.924110,#0000EE
France,2.213749,46.227638,#0000EE
Gabon,11.609444,-0.803689,#17D85E
Gambia,-15.516140,13.437437,#17D85E
Georgia,43.324267,42.050170,#17D85E
Germany,9.958450,50.627542,#17D85E
Ghana,-1.202374,7.301970,#17D85E
Greece,22.034456,39.069507,#17D85E
Greenland,-41.345005,74.727720,#17D85E
Grenada,-61.654958,12.155863,#17D85E
Guam,144.769450,13.442769,#17D85E
Guatemala,-90.560029,15.609342,#17D85E
Guinea,-10.991110,10.428156,#17D85E
Guyana,-58.801275,4.633369,#17D85E
Haiti,-71.997442,18.964026,#5EFF00
Honduras,-87.225643,14.504704,#5EFF00
Hungary,19.373862,47.046255,#5EFF00
Iceland,-18.372633,64.809637,#FFF700
India,78.891806,23.041173,#FFF700
Indonesia,119.851232,-3.187229,#FFF700
Iran,53.487766,32.815273,#FFF700
Iraq,42.802917,33.139266,#FFF700
Ireland,-7.859928,52.518882,#FFF700
Israel,34.814642,31.467060,#FFF700
Italy,12.251522,42.763190,#FFF700
Jamaica,-77.160905,18.115368,#FF9A00
Japan,140.460000,38.280000,#FF9A00
Jordan,36.392121,31.125730,#FF9A00
Kazakhstan,67.382857,47.827276,#704F1E
Kenya,37.609136,0.500765,#704F1E
Kiribati,-157.397438,1.993671,#704F1E
Kuwait,47.633578,29.360775,#704F1E
Kyrgyzstan,74.555223,41.464025,#704F1E
Laos,102.632150,19.541534,#EB865B
Latin America and Caribbean,-79.421394,43.877193,#EB865B
Latvia,24.915373,56.856496,#EB865B
Lebanon,35.887572,34.191738,#EB865B
Lesotho,28.179611,-29.709284,#EB865B
Liberia,-9.717986,6.359217,#EB865B
Libya,26.768524,17.506650,#EB865B
Lithuania,24,55.5,#EB865B
Luxembourg,6.13,49.77,#EB865B
Macedonia,21.71667,41.65,#941010
Madagascar,-20,47,#941010
Malawi,3.6,-13.01667,#941010
Malaysia,101.7,3.15972,#941010
Maldives,73.22,3.2,#941010
Mali,104.70139,23.12729,#941010
Malta,14.5,35.88333,#941010
Marshall Islands,171.06667,7.11667,#941010
Mauritania,-10.65,19.56667,#941010
Mauritius,57.5,-20.2,#941010
Mexico,-99.2333,19.4833,#941010
Micronesia,-157.83598,21.290728,#941010
Moldova,28.51667,47.25,#941010
Mongolia,104,47,#941010
Montenegro,19.21667,42.76667,#941010
Morocco,-6,32,#941010
Mozambique,35.18333,-17.6,#941010
Myanmar,96,22,#941010
Namibia,17,-23,#9F6B6B
Nepal,86.73333,26.53333,#9F6B6B
Netherlands,5.55,52.31667,#9F6B6B
New Zealand,174,-42,#9F6B6B
Nicaragua,-86.00099,13.09138,#9F6B6B
Niger,8,9,#9F6B6B
Nigeria,5.322332044,6.46916479,#9F6B6B
North America,-97.1148,32.7865,#9F6B6B
North Korea,127,40,#9F6B6B
Northern Ireland,-8.2438898,53.4129105,#9F6B6B
Norway,8.4689465,60.472023,#9F6B6B
Oceania,-81.6240005,37.6920586,#7C4343
Oman,55.96667,20.23333,7C4343
Pakistan,69.3451157,30.3753204,#DA5252
Panama,-80.36667,8.61667,#DA5252
Papua New Guinea,146.1,-6.36667,#DA5252
Paraguay,-58.08333,-23.26667,#DA5252
Peru,-78,-8,#DA5252
Philippines,121.7740173,12.8797207,#DA5252
Poland,19,52,#DA5252
Portugal,-8.2244539,39.3998718,#DA5252
Puerto,-66.5,18.25,#DA5252
Qatar,51.21277,25.26954,#511C1C
Romania,24.9667606,45.943161,#511C1C
Russia,105.3187561,61.5240097,#511C1C
Rwanda,29.87389,-1.94028,#511C1C
Saint Lucia,-60.9788933,13.9094439,#D03939
Saint Vincent and the Grenadines,-172.1046295,-13.7590294,#D03939
Sao Tome and Principe,6.613081,0.18636,#D03939
Saudi Arabia,45.0791626,23.8859425,#D03939
Senegal,14.4523621,14.4974012,#D03939
Serbia,21.0058594,44.0165215,#D03939
Seychelles,55.4919777,-4.679574,#D03939
Sierra Leone,-11.7798891,8.4605551,#D03939
Singapore,103.8198395,1.352083,#D03939
Slovakia,19.6990242,48.6690254,#D03939
Slovenia,14.9954634,46.1512413,#D03939
Solomon Islands,160.156189,-9.64571,#D03939
Somalia,46.199616,5.152149,#D03939
South Africa,22.9375057,-30.5594826,#D03939
South Korea,127.766922,35.9077568,#D03939
South Sudan,31.3069782,6.8769908,#D03939
Spain,-3.7492199,40.4636688,#D03939
Sri Lanka,80.7717972,7.873054,#D03939
Sudan,30.2176361,12.8628073,#D03939
Suriname,-56.0277824,3.9193051,#D03939
Swaziland,31.4658661,-26.5225029,#D03939
Sweden,18.6435013,60.1281624,#D03939
Switzerland,8.2275124,46.8181877,#D03939
Syria,38.9968147,34.8020744,#D03939
Taiwan,120.9605179,23.6978092,#EFCBCB
Tajikistan,71.2760925,38.8610344,#EFCBCB
Tanzania,34.8888206,6.3690281,#EFCBCB
Thailand,100.9925385,15.8700323,#EFCBCB
Timor,125.7275391,-8.874217,#EFCBCB
Togo,0.824782,8.6195431,#EFCBCB
Tonga,-175.1982422,-21.1789856,#EFCBCB
Trinidad and Tobago,-61.2225037,10.691803,#EFCBCB
Tunisia,9.5374994,33.8869171,#EFCBCB
Turkey,35.2433205,38.9637451,#EFCBCB
Turkmenistan,59.5562782,38.9697189,#EFCBCB
Uganda,32.2902756,1.373333,#5F4545
Ukraine,31.1655807,48.3794327,#5F4545
United Arab Emirates,53.8478165,23.4240761,#5F4545
United Kingdom,-3.4359729,55.3780518,#5F4545
United States,-95.7128906,37.0902405,#5F4545
Uruguay,-55.7658348,-32.5227776,#5F4545
Uzbekistan,64.5852585,41.377491,#5F4545
Vanuatu,166.9591522,-15.3767061,#C93A3A
Venezuela,-66.5897293,6.4237499,#C93A3A
Vietnam,108.2771988,14.0583239,#C93A3A
Yemen,48.5163879,15.5527267,#9E3838
Zambia,27.8493328,-13.1338968,#6C1616
Zimbabwe,29.1548576,-19.0154381,#6C1616
